motion,label
0.054688 2.078125 -3.113281 -83.613281 -81.511719 -38.703125 -51.121094 -85.085938 -0.136719 1.253906 -4.074219 -44.937500 -2.250000 12.816406 -73.656250 -43.398438 -0.328125 2.933594 -8.191406 -76.414062 -92.679688 -51.195312 -98.777344 -102.710938,l
-0.046875 0.777344 -1.699219 -28.566406 -46.511719 -69.425781 -101.476562 -94.402344 0.000000 -1.167969 4.398438 23.167969 -43.417969 -69.160156 -30.828125 -62.769531 -0.441406 2.476562 -10.117188 -40.429688 -80.785156 -108.734375 -84.347656 -81.917969,l
0.167969 0.425781 2.519531 -38.214844 -94.984375 -97.726562 -102.367188 -95.339844 -0.101562 1.414062 -3.261719 -62.996094 -34.910156 -56.058594 -59.796875 -101.289062 -0.386719 3.605469 -10.980469 -90.718750 -100.039062 -74.468750 -91.210938 -100.617188,l
0.007812 1.531250 -1.835938 -65.179688 -100.210938 -103.835938 -93.585938 -126.882812 0.078125 -0.781250 7.250000 -40.789062 -62.210938 -84.257812 -84.734375 -5.890625 -0.593750 3.929688 -16.015625 -64.007812 -89.703125 -88.671875 -141.468750 -145.320312,l
-0.101562 1.921875 -3.132812 -79.039062 -96.132812 -114.734375 -131.109375 -92.718750 0.085938 -1.117188 10.140625 -40.679688 -106.242188 -31.570312 -14.765625 -77.148438 -0.492188 3.812500 -13.906250 -74.617188 -116.320312 -160.132812 -107.656250 -112.320312,l
0.234375 -0.054688 8.164062 -63.218750 -134.937500 -119.343750 -39.023438 -65.726562 0.007812 0.296875 -0.171875 -32.976562 -7.992188 -57.851562 -83.929688 -56.242188 -0.460938 3.796875 -9.109375 -129.187500 -136.867188 -100.617188 -111.007812 -96.125000,l
0.023438 1.089844 1.816406 -81.015625 -81.347656 -34.363281 -113.449219 -123.691406 0.179688 -1.367188 10.242188 -31.839844 -81.335938 -73.464844 -43.453125 -76.500000 -0.261719 2.511719 -5.800781 -72.542969 -121.421875 -94.824219 -100.695312 -94.746094,l
0.093750 -1.171875 6.921875 6.679688 -89.726562 -131.523438 -77.070312 -39.625000 0.000000 0.921875 0.500000 -65.929688 -51.484375 -66.242188 -61.304688 -42.007812 -0.773438 5.203125 -21.359375 -81.210938 -102.960938 -95.554688 -83.070312 -47.414062,l
0.132812 0.910156 4.011719 -76.144531 -118.097656 -35.523438 -56.761719 -12.320312 0.144531 -1.160156 8.566406 -39.996094 -77.441406 -42.007812 -65.140625 -105.867188 -0.308594 2.117188 -5.359375 -60.058594 -98.964844 -58.406250 -22.710938 6.554688,l
0.066406 0.007812 1.203125 -3.992188 -55.652344 -29.343750 -43.554688 -85.191406 0.031250 0.007812 2.980469 -34.957031 -51.148438 -97.421875 -104.289062 -120.992188 -0.417969 2.898438 -10.488281 -47.015625 -46.250000 12.082031 -52.437500 -97.140625,l
